TDS,Turbidity,pH,Temperature,Humidity,Result
368.98,62.18,6.2,7.89,15.08,Medium
23.29,72.07,2.06,65.83,41.15,Medium
76.26,82.81,2.65,80.05,44.02,Medium
235.13,99.26,2.72,13.39,86.27,Medium
403.11,3.63,1.06,98.7,68.42,Medium
77.87,69.04,6.97,66.82,1.84,Medium
431.08,98.47,4.2,72.08,4.56,Medium
324.48,40.18,4.96,47.74,6.86,Medium
408.14,72.06,6.27,99.22,43.49,Medium
193.99,76.16,5.52,34.67,74.28,Medium
401.64,19.15,6.09,53.03,67.32,Medium
446.92,6.62,2.93,87.88,68.26,Medium
354.99,33.44,7.25,1.16,99.56,Medium
194.64,1.18,1.17,34.22,9.44,Medium
221.65,94.04,5.46,22.97,30.37,Medium
246.33,54.11,5.31,47.96,54.86,Medium
171.59,72.41,5.99,21.92,85.83,Low
325.74,1.39,5.29,62.34,67.61,Medium
32.32,89.54,5.54,49.93,72.61,Medium
98.9,35.34,2.79,28.69,36.14,Medium
472.12,7.05,4.75,16.25,70.93,Medium
239.43,84.93,1.1,85.3,20.98,Medium
34.14,49.88,7.19,96.11,50.5,Medium
194.25,97.73,3.88,5.36,26.6,Medium
180.1,15.42,4.77,59.47,34.1,Medium
129.5,99.08,5.89,52.04,11.52,Medium
206.17,56.65,2.75,41.93,69.99,Medium
69.28,66.54,3.64,58.37,89.69,Medium
203.52,75.25,6.02,84.84,47.66,Medium
115.69,31.74,2.91,28.57,82.67,Medium
462.24,4.16,4.37,26.41,14.65,Low
122.28,62.53,6.73,26.25,2.56,Low
234.43,54.82,3.37,98.6,56.22,Medium
99.97,9.81,1.78,88.6,32.55,Medium
426.16,5.39,5.59,93.18,52.71,Medium
221.9,50.12,6.67,51.28,34.88,Medium
181.03,6.32,6.37,42.72,83.31,Medium
372.17,84.53,7.9,40.58,68.76,Medium
88.35,89.68,2.22,65.08,18.7,Medium
232.42,80.96,3.95,69.54,69.25,Medium
442.28,71.36,0.26,12.83,17.58,Medium
114.34,93.05,4.86,72.95,95.82,Medium
401.64,35.0,1.51,53.02,47.32,Medium
343.28,37.07,5.79,72.61,16.72,Medium
398.79,46.14,7.02,29.02,17.11,Medium
35.01,64.76,3.85,28.8,58.61,Low
351.24,62.15,7.89,74.26,38.24,Medium
268.19,37.57,0.37,62.05,48.44,Medium
346.97,17.23,4.1,19.4,93.2,Medium
355.43,19.07,7.86,62.36,69.54,Medium
358.64,12.03,6.03,4.86,81.57,Medium
350.62,46.36,7.21,79.55,2.53,Medium
120.86,90.59,4.06,69.25,58.98,Medium
351.03,42.15,1.23,68.68,49.67,Medium
458.65,35.95,6.83,41.71,67.41,Medium
466.08,82.51,5.48,53.2,52.46,Medium
181.83,81.66,0.56,94.23,90.81,Medium
273.42,48.66,7.6,36.42,95.77,Medium
42.15,94.02,4.29,3.39,19.25,Medium
261.33,81.57,2.82,44.26,26.11,Medium
101.85,57.61,7.02,88.55,14.1,Medium
